word_id,example_phrase_english,example_phrase_polish,example_sentence_english,explanation
953,Her vanity prevented her from admitting her mistake.,Jej próżność uniemożliwiła jej przyznanie się do błędu.,His vanity was evident in the many pictures of himself around the room.,"Refers to excessive pride or admiration in one's own appearance or achievements, often used in the context of personal relationships or social media."
954,There was an implicit agreement between them not to discuss the matter.,"Między nimi istniała domniemana umowa, aby nie dyskutować tej sprawy.",His silence was taken as an implicit admission of guilt.,"Refers to something that is understood or implied without being stated explicitly, often used in the context of communication or negotiation."
955,The city was notorious for its high crime rate.,Miasto było notoryczne z powodu wysokiej liczby przestępstw.,The notorious hacker was finally caught by the FBI.,"Refers to someone or something that is widely known or recognized for being negative or scandalous, often used in the context of crime or politics."
956,He agreed to the terms implicitly by signing the contract.,"Poprzez podpisanie umowy, zgodził się z warunkami domyślnie.",The company's policy was implicitly understood by all employees.,"Refers to something that is understood or implied without being stated explicitly, often used in the context of communication or negotiation."
957,She was a member of the local historical association.,Ona była członkiem lokalnego stowarzyszenia historycznego.,The trade association lobbied for lower taxes on small businesses.,"Refers to a group of people or organizations that come together for a common purpose or interest, often used in the context of professional or social networking."
958,He used a special technique to preserve the freshness of the food.,"On użył specjalnej techniki, aby zachować świeżość jedzenia.",The park is a natural preserve that protects the local wildlife.,"Refers to maintaining or protecting something in its original state or condition, often used in the context of nature conservation or cultural heritage."
959,The report provided a comprehensive analysis of the problem.,Raport zapewnił wyczerpującą analizę problemu.,The comprehensive training program covered all aspects of the job.,"Refers to something that is complete, thorough, and covers all aspects of a particular subject or topic, often used in the context of education or research."
960,She was tired and hence irritable.,Była zmęczona i w związku z tym drażliwa.,The company will be expanding its operations and hence hiring new employees.,"Refers to expressing a conclusion or result that follows logically from what has been said or written before, often used in the context of argumentation or reasoning."
961,Incest is a taboo in most cultures.,Kazirodztwo jest tabu w większości kultur.,The book was banned because it contained explicit references to incest.,"Refers to sexual relations between family members who are too closely related by blood or marriage, often considered taboo and illegal in many cultures and societies."
962,The politician's stance on the issue was unclear.,Postawa polityka w tej kwestii była niejasna.,She took a defiant stance against the school's dress code.,"Refers to a person's position or attitude towards a particular issue or topic, often used in the context of politics or social movements."
963,The city has a curfew for minors.,Miasto ma ciszę nocną dla nieletnich.,The soldiers were confined to their barracks during the curfew.,"Refers to a regulation that requires people to be indoors and quiet during specific hours of the night, often used in the context of safety or law enforcement."
964,He felt a twitch in his eye.,Poczuł drganie w oku.,The horse's ears would twitch at the sound of a nearby predator.,"Refers to a sudden and involuntary movement of a muscle or body part, often used in the context of medical or neurological conditions."
965,Use a comma to separate items in a list.,"Użyj przecinka, aby oddzielić elementy na liście.",He forgot to put a comma after the introductory phrase.,"Refers to a punctuation mark used to indicate a pause or separation between parts of a sentence, often used in the context of writing or editing."
